"kemendagri_kode
_provinsi";"kemendagri_nama
_provinsi
";"kemendagri_kode_
kabupaten_kota
";"kemendagri_nama_
kabupaten_kota
";"kemendagri_kode_
kecamatan
";"kemendagri_nama_
kecamatan
";"kemendagri_kode_
desa
";"kemendagri_nama_
desa";tahun;jenis_kelamin;jumlah_buruh_pabrik;satuan
11;Aceh;1101;Kabupaten Aceh Selatan;110101;Bakongan;1101012001;Keude Bakongan;2024;Laki-laki;0;Jiwa
11;Aceh;1101;Kabupaten Aceh Selatan;110101;Bakongan;1101012002;Ujong Mangki;2024;Laki-laki;0;Jiwa
11;Aceh;1101;Kabupaten Aceh Selatan;110101;Bakongan;1101012003;Ujong Padang;2024;Laki-laki;0;Jiwa
11;Aceh;1101;Kabupaten Aceh Selatan;110101;Bakongan;1101012004;Gampong Drien;2024;Laki-laki;0;Jiwa
11;Aceh;1101;Kabupaten Aceh Selatan;110101;Bakongan;1101012015;Darul Ikhsan;2024;Laki-laki;0;Jiwa
11;Aceh;1101;Kabupaten Aceh Selatan;110101;Bakongan;1101012016;Padang Beurahan;2024;Laki-laki;0;Jiwa
11;Aceh;1101;Kabupaten Aceh Selatan;110101;Bakongan;1101012017;Gampong Baro;2024;Laki-laki;0;Jiwa
11;Aceh;1101;Kabupaten Aceh Selatan;110102;Kluet Utara;1101022001;Fajar Harapan;2024;Laki-laki;0;Jiwa
11;Aceh;1101;Kabupaten Aceh Selatan;110102;Kluet Utara;1101022002;Krueng Batee;2024;Laki-laki;20;Jiwa
11;Aceh;1101;Kabupaten Aceh Selatan;110102;Kluet Utara;1101022003;Pasi Kuala Asahan;2024;Laki-laki;0;Jiwa
11;Aceh;1101;Kabupaten Aceh Selatan;110102;Kluet Utara;1101022004;Gunong Pulo;2024;Laki-laki;0;Jiwa
11;Aceh;1101;Kabupaten Aceh Selatan;110102;Kluet Utara;1101022005;Pulo Ie I;2024;Laki-laki;0;Jiwa
11;Aceh;1101;Kabupaten Aceh Selatan;110102;Kluet Utara;1101022006;Jambo Manyang;2024;Laki-laki;0;Jiwa
11;Aceh;1101;Kabupaten Aceh Selatan;110102;Kluet Utara;1101022007;Simpang Empat;2024;Laki-laki;0;Jiwa
11;Aceh;1101;Kabupaten Aceh Selatan;110102;Kluet Utara;1101022008;Limau Purut;2024;Laki-laki;3;Jiwa
11;Aceh;1101;Kabupaten Aceh Selatan;110102;Kluet Utara;1101022009;Pulo Kambing;2024;Laki-laki;0;Jiwa
11;Aceh;1101;Kabupaten Aceh Selatan;110102;Kluet Utara;1101022010;Kampung Paya;2024;Laki-laki;6;Jiwa
11;Aceh;1101;Kabupaten Aceh Selatan;110102;Kluet Utara;1101022011;Krueng Batu;2024;Laki-laki;0;Jiwa
11;Aceh;1101;Kabupaten Aceh Selatan;110102;Kluet Utara;1101022012;Krueng Kluet;2024;Laki-laki;0;Jiwa
11;Aceh;1101;Kabupaten Aceh Selatan;110102;Kluet Utara;1101022013;Alur Mas;2024;Laki-laki;0;Jiwa
11;Aceh;1101;Kabupaten Aceh Selatan;110102;Kluet Utara;1101022014;Kampung Tinggi;2024;Laki-laki;0;Jiwa
11;Aceh;1101;Kabupaten Aceh Selatan;110102;Kluet Utara;1101022015;Ruak;2024;Laki-laki;5;Jiwa
11;Aceh;1101;Kabupaten Aceh Selatan;110102;Kluet Utara;1101022016;Simpang Lhee;2024;Laki-laki;4;Jiwa
11;Aceh;1101;Kabupaten Aceh Selatan;110102;Kluet Utara;1101022017;Suaq Geuringgeng;2024;Laki-laki;0;Jiwa
11;Aceh;1101;Kabupaten Aceh Selatan;110102;Kluet Utara;1101022018;Pasi Kuala Ba'U;2024;Laki-laki;0;Jiwa
11;Aceh;1101;Kabupaten Aceh Selatan;110102;Kluet Utara;1101022019;Kedai Padang;2024;Laki-laki;0;Jiwa
11;Aceh;1101;Kabupaten Aceh Selatan;110102;Kluet Utara;1101022020;Kotafajar;2024;Laki-laki;55;Jiwa
11;Aceh;1101;Kabupaten Aceh Selatan;110102;Kluet Utara;1101022021;Gunung Pudung;2024;Laki-laki;0;Jiwa
11;Aceh;1101;Kabupaten Aceh Selatan;110103;Kluet Selatan;1101032001;Suaq Bakung;2024;Laki-laki;0;Jiwa
11;Aceh;1101;Kabupaten Aceh Selatan;110103;Kluet Selatan;1101032002;Rantau Binuang;2024;Laki-laki;0;Jiwa
11;Aceh;1101;Kabupaten Aceh Selatan;110103;Kluet Selatan;1101032003;Barat Daya;2024;Laki-laki;0;Jiwa
11;Aceh;1101;Kabupaten Aceh Selatan;110103;Kluet Selatan;1101032004;Sialang;2024;Laki-laki;0;Jiwa
11;Aceh;1101;Kabupaten Aceh Selatan;110103;Kluet Selatan;1101032005;Kapeh;2024;Laki-laki;0;Jiwa
11;Aceh;1101;Kabupaten Aceh Selatan;110103;Kluet Selatan;1101032006;Pulo Ie;2024;Laki-laki;0;Jiwa
11;Aceh;1101;Kabupaten Aceh Selatan;110103;Kluet Selatan;1101032007;Kedai Runding;2024;Laki-laki;0;Jiwa
11;Aceh;1101;Kabupaten Aceh Selatan;110103;Kluet Selatan;1101032008;Kedai Kandang;2024;Laki-laki;0;Jiwa
11;Aceh;1101;Kabupaten Aceh Selatan;110103;Kluet Selatan;1101032009;Gampong Luar;2024;Laki-laki;0;Jiwa
11;Aceh;1101;Kabupaten Aceh Selatan;110103;Kluet Selatan;1101032010;Ujung;2024;Laki-laki;0;Jiwa
11;Aceh;1101;Kabupaten Aceh Selatan;110103;Kluet Selatan;1101032011;Jua;2024;Laki-laki;0;Jiwa
